Address	Symbol	Comment	Block	Network	Position	Access	Instruction
F 10.4	F Table2_Down	Flag Mesa 2 Horizontal	FB 18	1	58	reading	A
F 11.0	F ???FC Table2_Axle		FB 18	1	13	writing	=
F 11.1	F MnpTable1_Up	Flag Manipulo Mesa 1 Vertical	FB 18	1	15	writing	=
F 11.2	F MnpTable1_Down	Flag Manipulo Mesa 1 Horizontal	FB 18	1	17	writing	=
F 11.3	F MnpTable2_Up	Flag Manipulo Mesa 2 Vertical	FB 18	1	19	writing	=
F 11.4	F MnpTable2_Down	Flag Manipulo Mesa 2 Horizontal	FB 18	1	21	writing	=
FW 16			FB 10	1	15	writing?	
FW 16			FB 10	1	21	reading	L
FW 18			FB 10	1	20	writing	T
FW 18			FB 10	1	22	reading	L
FW 20			FB 10	1	24	writing	T
FW 20			FB 10	1	25	reading	L
FW 20			FB 10	1	37	writing	T
FW 20			FB 10	1	40	reading?	
FW 20			FB 10	1	43	writing?	
FW 20			FB 10	1	45	reading	L
FW 20			FB 10	1	48	writing	T
FW 20			FB 10	1	53	writing	T
FW 20			FB 10	1	57	reading	L
FW 20			FB 10	1	65	reading	L
FW 22			PB 20	1	25	reading	L
FW 22			FB 10	1	58	writing	T
FW 24			PB 20	1	6	reading	L
FW 24			PB 21	1	7	reading	L
FW 24			PB 21	1	14	reading	L
FW 24			FB 10	1	66	writing	T
FW 26			OB 1	5	32	reading	L
FW 26			FB 11	1	61	writing	T
FW 26			FB 11	1	72	writing	T
FW 26			FB 11	1	79	writing	T
FW 30			FB 11	1	15	writing?	
FW 30			FB 11	1	18	reading	L
FW 30			FB 11	1	23	reading	L
FW 30			FB 11	1	37	reading?	
FW 30			FB 11	1	43	writing?	
FW 30			FB 11	1	48	reading?	
FW 30			FB 11	1	51	writing?	
FW 30			FB 11	1	69	reading	L
FW 30			FB 11	1	76	reading	L
FW 32			FB 12	1	6	writing	T
FW 32			FB 12	1	16	reading	L
FW 32			FB 12	1	53	reading	L
FW 32			FB 12	1	55	writing	T
FW 32			FB 13	1	6	writing	T
FW 32			FB 13	1	33	reading	L
FW 32			FB 13	1	35	writing	T
FW 34			FB 10	1	2	reading	L
FW 34			FB 11	1	2	reading	L
FW 34			FB 12	1	7	reading	L
FW 34			FB 12	1	15	reading	L
FW 34			FB 12	1	18	writing	T
FW 34			FB 12	1	27	writing	T
FW 34			FB 13	1	7	reading	L
FW 34			FB 14	1	6	writing	T
FW 34			FB 14	1	10	reading	L
FW 34			FB 14	1	22	writing	T
FW 34			FB 14	1	26	reading	L
FW 34			FB 14	1	38	writing	T
FW 34			FB 14	1	42	reading	L
FW 34			FB 15	2	18	writing	T
FW 34			FB 15	2	21	reading	L
FW 34			FB 15	3	20	writing	T
FW 34			FB 15	3	24	reading	L
FW 34			FB 15	3	36	writing	T
FW 34			FB 15	3	40	reading	L
FW 34			FB 15	3	52	writing	T
FW 34			FB 15	3	56	reading	L
FW 34			FB 15	4	21	writing	T
FW 34			FB 15	4	25	reading	L
FW 34			FB 15	4	37	writing	T
FW 34			FB 15	4	41	reading	L
FW 34			FB 15	4	52	reading	L
FW 34			FB 15	4	64	writing	T
FW 34			FB 15	4	68	reading	L
FW 34			FB 15	4	79	writing	T
FW 34			FB 15	4	83	reading	L
FW 34			FB 15	5	20	writing	T
FW 34			FB 15	5	24	reading	L
FW 34			FB 15	5	36	writing	T
FW 34			FB 15	5	40	reading	L
FW 34			FB 15	5	52	writing	T
FW 34			FB 15	5	56	reading	L
FW 34			FB 15	6	20	writing	T
FW 34			FB 15	6	24	reading	L
FW 34			FB 15	6	36	writing	T
FW 34			FB 15	6	40	reading	L
FW 34			FB 15	6	52	writing	T
FW 34			FB 15	6	56	reading	L
FW 34			FB 16	1	4	reading?	
F 34.2			FB 15	4	49	reading	AN
FY 36			FB 10	1	42	writing?	
FY 36			FB 11	1	50	writing?	
FW 36			FB 10	1	16	writing?	
FW 36			FB 11	1	16	writing?	
FW 36			FB 11	1	44	writing?	
FW 36			FB 16	1	11	writing?	
FW 38			FB 14	1	20	writing	T
FW 38			FB 15	3	15	writing	T
FW 38			FB 15	4	16	writing	T
FW 38			FB 15	5	15	writing	T
FW 38			FB 15	6	15	writing	T
FW 38			FB 16	1	5	reading?	
FW 40			FB 10	1	6	writing	T
FW 40			FB 10	1	10	reading?	
FW 40			FB 10	1	18	reading	L
FW 42			FB 11	1	6	writing	T
FW 42			FB 11	1	10	reading?	
FW 50			FB 18	1	5	writing	T
FW 50			FB 18	1	9	reading	L
DW 0	DW Speed 0	Data DW0 Velocidade	PB 20	1	41	reading	L
DW 0	DW Speed 0	Data DW0 Velocidade	PB 21	1	36	reading	L
DW 0	DW Speed 0	Data DW0 Velocidade	FB 15	2	17	reading	L
DW 0	DW Speed 0	Data DW0 Velocidade	FB 15	2	22	writing	T
DW 1	DW1???		OB 1	10	55	reading	L
DW 1	DW1???		PB 20	1	103	reading	L
DW 1	DW1???		PB 21	1	72	reading	L
DW 1	DW1???		FB 14	1	37	reading	L
DW 1	DW1???		FB 14	1	43	writing	T
DW 2	DW2???		PB 20	1	107	reading	L
DW 2	DW2???		FB 13	1	8	reading	L
DW 2	DW2???		FB 14	1	5	reading	L
DW 2	DW2???		FB 14	1	11	writing	T
DW 3	DW Speed 3	Data DW3 Velocidade	PB 30	1	18	reading	L
DW 3	DW Speed 3	Data DW3 Velocidade	PB 31	1	14	reading	L
DW 3	DW Speed 3	Data DW3 Velocidade	FB 15	4	20	reading	L
DW 3	DW Speed 3	Data DW3 Velocidade	FB 15	4	26	writing	T
DW 4	DW Speed 4	Data DW4 Velocidade	PB 30	1	27	reading	L
DW 4	DW Speed 4	Data DW4 Velocidade	FB 15	4	36	reading	L
DW 4	DW Speed 4	Data DW4 Velocidade	FB 15	4	42	writing	T
DW 5	DW5???		PB 30	1	31	reading	L
DW 5	DW5???		PB 31	1	25	reading	L
DW 6	DW Speed 6	Data DW6 Velocidade	PB 32	1	13	reading	L
DW 6	DW Speed 6	Data DW6 Velocidade	PB 33	1	10	reading	L
DW 6	DW Speed 6	Data DW6 Velocidade	FB 15	4	53	writing	T
DW 7	DW Speed 7	Data DW7 Velocidade	PB 32	1	22	reading	L
DW 7	DW Speed 7	Data DW7 Velocidade	FB 15	4	63	reading	L
DW 7	DW Speed 7	Data DW7 Velocidade	FB 15	4	69	writing	T
DW 8	DW Speed 8	Data DW8 Velocidade	PB 32	1	26	reading	L
DW 8	DW Speed 8	Data DW8 Velocidade	PB 33	1	21	reading	L
DW 8	DW Speed 8	Data DW8 Velocidade	FB 15	4	78	reading	L
DW 8	DW Speed 8	Data DW8 Velocidade	FB 15	4	84	writing	T
DW 9	DW Speed 9	Data DW9 Velocidade	PB 40	1	12	reading	L
DW 9	DW Speed 9	Data DW9 Velocidade	PB 41	1	11	reading	L
DW 9	DW Speed 9	Data DW9 Velocidade	FB 15	3	19	reading	L
DW 9	DW Speed 9	Data DW9 Velocidade	FB 15	3	25	writing	T
DW 10	DW Speed 10	Data DW10 Velocidade	PB 40	1	21	reading	L
DW 10	DW Speed 10	Data DW10 Velocidade	FB 15	3	35	reading	L
DW 10	DW Speed 10	Data DW10 Velocidade	FB 15	3	41	writing	T
DW 11	DW Speed 11	Data DW11 Velocidade	PB 40	1	25	reading	L
DW 11	DW Speed 11	Data DW11 Velocidade	PB 41	1	22	reading	L
DW 11	DW Speed 11	Data DW11 Velocidade	FB 15	3	51	reading	L
DW 11	DW Speed 11	Data DW11 Velocidade	FB 15	3	57	writing	T
DW 12	DW Speed 12	Data DW12 Velocidade	PB 50	1	28	reading	L
DW 12	DW Speed 12	Data DW12 Velocidade	PB 51	1	30	reading	L
DW 12	DW Speed 12	Data DW12 Velocidade	FB 15	5	19	reading	L
DW 12	DW Speed 12	Data DW12 Velocidade	FB 15	5	25	writing	T
DW 13	DW Speed 13	Data DW13 Velocidade	PB 50	1	46	reading	L
DW 13	DW Speed 13	Data DW13 Velocidade	PB 51	1	52	reading	L
DW 13	DW Speed 13	Data DW13 Velocidade	FB 15	5	35	reading	L
DW 13	DW Speed 13	Data DW13 Velocidade	FB 15	5	41	writing	T
DW 14	DW Speed 14	Data DW14 Velocidade	PB 50	1	52	reading	L
DW 14	DW Speed 14	Data DW14 Velocidade	PB 51	1	58	reading	L
DW 14	DW Speed 14	Data DW14 Velocidade	FB 15	5	51	reading	L
DW 14	DW Speed 14	Data DW14 Velocidade	FB 15	5	57	writing	T
DW 15	DW Speed 15	Data DW15 Velocidade	FB 15	6	19	reading	L
DW 15	DW Speed 15	Data DW15 Velocidade	FB 15	6	25	writing	T
DW 16	DW Speed 16	Data DW16 Velocidade	FB 15	6	35	reading	L
DW 16	DW Speed 16	Data DW16 Velocidade	FB 15	6	41	writing	T
DW 17	DW Speed 17	Data DW17 Velocidade	FB 15	6	51	reading	L
DW 17	DW Speed 17	Data DW17 Velocidade	FB 15	6	57	writing	T
DW 18	DW18???		PB 50	1	57	reading	L
DW 18	DW18???		PB 51	1	63	reading	L
DW 18	DW18???		FB 14	1	21	reading	L
DW 18	DW18???		FB 14	1	27	writing	T
DW 20	DW20 FB10RO		FB 10	1	9	reading?	
DW 22	DW22 FB10RO		FB 10	1	26	reading	L
DW 22	DW22 FB10RO		FB 10	1	36	reading	L
DW 23	DW23 FB10RO		FB 10	1	52	reading	L
DW 24	DW24 FB10RO		FB 10	1	46	reading	L
DW 25	DW25 FB10RO		FB 10	1	4	reading	L
DW 26	DW26 FB11RO		FB 11	1	4	reading	L
DW 27	DW27 FB12-13RO		FB 12	1	5	reading	L
DW 27	DW27 FB12-13RO		FB 13	1	5	reading	L
DW 28	DW28 FB12RO		FB 12	1	8	reading	L
DW 28	DW28 FB12RO		FB 12	1	19	reading	L
DW 28	DW28 FB12RO		FB 12	1	26	reading	L
DW 31	DW31 FB11RO		FB 11	1	38	reading?	
DW 32	DW32 FB11RO		FB 11	1	9	reading?	
DW 33	DW33 FB11RO		FB 11	1	19	reading	L
DW 34	DW34 FB11RO		FB 11	1	60	reading	L
DW 35	DW35 FB11RO		FB 11	1	70	reading	L
DW 36	DW36 FB11RO		FB 11	1	77	reading	L
DW 37	DW37 FB11RO		FB 11	1	24	reading	L
DW 39	DW39 FB15RO		FB 15	3	14	reading	L
DW 40	DW40 FB15RO		FB 15	4	15	reading	L
DW 41	DW41 FB14-15RO		FB 14	1	19	reading	L
DW 41	DW41 FB14-15RO		FB 15	5	14	reading	L
DW 42	DW42 FB15R0		FB 15	6	14	reading	L
DW 44	DW44 FB18RO		FB 18	1	3	reading	L
DW 44	DW44 FB18RO		FB 18	1	7	reading	L
T 0	XXX_T0	SF KT060.2 =60s	OB 1	2	15	reading	AN
T 0	XXX_T0	SF KT060.2 =60s	OB 1	2	38	writing	SF
T 1	XXX_T1	SD KT600.1 =60s	OB 1	2	24	reading	O
T 1	XXX_T1	SD KT600.1 =60s	OB 1	2	41	reading	O
T 1	XXX_T1	SD KT600.1 =60s	OB 1	3	9	writing	SD
T 1	XXX_T1	SD KT600.1 =60s	OB 1	6	4	reading	A
T 2	XXX_T2	SP KT080.1 = 8s	OB 1	2	47	writing	SP
T 2	XXX_T2	SP KT080.1 = 8s	OB 1	2	49	reading	A
T 2	XXX_T2	SP KT080.1 = 8s	OB 1	2	55	reading	AN
T 3	XXX_T3	SD KT400.1 =40s	OB 1	4	3	reading	A
T 3	XXX_T3	SD KT400.1 =40s	OB 1	4	16	writing	SD
T 4	XXX_T4	SD KT030.2 =30s	OB 1	6	6	writing	SD
T 4	XXX_T4	SD KT030.2 =30s	OB 1	6	8	reading	A
T 5	XXX_T5	SD KT050.1 = 5s	OB 1	7	11	writing	SD
T 5	XXX_T5	SD KT050.1 = 5s	OB 1	7	14	reading	A
T 6	XXX_T6	SD KT050.1 = 5s	OB 1	7	36	writing	SD
T 6	XXX_T6	SD KT050.1 = 5s	OB 1	7	39	reading	A
T 7	XXX_T7	SD KT050.0 =0,5s	OB 1	9	7	writing	SD
T 7	XXX_T7	SD KT050.0 =0,5s	PB 20	1	67	reading	A
T 7	XXX_T7	SD KT050.0 =0,5s	PB 21	1	38	reading	A
T 7	XXX_T7	SD KT050.0 =0,5s	PB 21	1	45	reading	A
T 7	XXX_T7	SD KT050.0 =0,5s	PB 30	1	20	reading	A
T 7	XXX_T7	SD KT050.0 =0,5s	PB 31	1	16	reading	A
T 7	XXX_T7	SD KT050.0 =0,5s	PB 32	1	15	reading	A
T 7	XXX_T7	SD KT050.0 =0,5s	PB 33	1	12	reading	A
T 7	XXX_T7	SD KT050.0 =0,5s	PB 40	1	14	reading	A
T 7	XXX_T7	SD KT050.0 =0,5s	PB 41	1	13	reading	A
T 7	XXX_T7	SD KT050.0 =0,5s	PB 50	1	30	reading	A
T 7	XXX_T7	SD KT050.0 =0,5s	PB 51	1	32	reading	A
T 8	XXX_T8	SD KT020.1 = 2s	OB 1	8	22	writing	SD
T 8	XXX_T8	SD KT020.1 = 2s	PB 50	1	4	reading	AN
T 8	XXX_T8	SD KT020.1 = 2s	PB 50	1	7	reading	A
T 8	XXX_T8	SD KT020.1 = 2s	PB 51	1	4	reading	AN
T 8	XXX_T8	SD KT020.1 = 2s	PB 51	1	7	reading	A
T 9	XXX_T9	SD KT010.0 =0,1s	OB 1	9	10	reading	A
T 9	XXX_T9	SD KT010.0 =0,1s	OB 1	9	19	writing	SD
T 10	XXX_T10	SD KT010.0 =0,1s	OB 1	9	14	reading	A
T 10	XXX_T10	SD KT010.0 =0,1s	OB 1	9	23	writing	SD
T 11	XXX_T11	SD KT015.1 =1,5s	OB 1	7	75	reading	A
T 11	XXX_T11	SD KT015.1 =1,5s	OB 1	7	80	writing	SD
T 12			PB 20	1	7	writing	SP
T 12			PB 20	1	17	reading	A
T 12			PB 21	1	8	writing	SP
T 12			PB 21	1	20	reading	A
T 13	XXX_T13	SD KT005.1 =0,5s	OB 1	1	57	writing	SD
T 13	XXX_T13	SD KT005.1 =0,5s	OB 1	1	59	reading	A
T 14	XXX_Laser_T14	SE KT300.1 =30s	OB 1	1	141	writing	SE
T 14	XXX_Laser_T14	SE KT300.1 =30s	OB 1	1	148	reading	AN
T 15	Tmr Laser 5m	Timer 5m Laser	OB 1	1	158	writing	SD
T 15	Tmr Laser 5m	Timer 5m Laser	OB 1	1	160	reading	A
T 16			PB 20	1	26	writing	SP
T 16			PB 20	1	36	reading	A
T 16			PB 21	1	15	writing	SP
T 16			PB 21	1	33	reading	A
T 17	XXX_T17	SE KT020.1 = 2s	OB 1	1	109	reading	AN
T 17	XXX_T17	SE KT020.1 = 2s	OB 1	1	112	writing	SE
T 17	XXX_T17	SE KT020.1 = 2s	OB 1	1	114	reading	A
T 17	XXX_T17	SE KT020.1 = 2s	OB 1	1	122	reading	A
T 18	XXX_T18	SF KT030.1 = 3s	OB 1	10	50	writing	SF
T 18	XXX_T18	SF KT030.1 = 3s	OB 1	10	52	reading	A
T 19	XXX_T19	SD	OB 1	5	33	writing	SD
T 19	XXX_T19	SD	OB 1	5	38	reading	A
T 20	XXX_T20	SD KT020.1 = 2s	OB 1	2	6	writing	SD
T 20	XXX_T20	SD KT020.1 = 2s	OB 1	2	10	reading	A
T 21	XXX_T21	SD KT020.1 = 2s	OB 1	2	20	writing	SD
T 21	XXX_T21	SD KT020.1 = 2s	OB 1	2	28	reading	A
T 22	XXX_T22	SD KT050.1 = 5s	OB 1	7	27	writing	SD
T 22	XXX_T22	SD KT050.1 = 5s	OB 1	9	51	reading	A
T 22	XXX_T22	SD KT050.1 = 5s	OB 1	9	57	reading	A
T 24	XXX_T24	SE KT020.1 = 2s	OB 1	6	31	writing	SE
T 24	XXX_T24	SE KT020.1 = 2s	OB 1	6	33	reading	A
T 25	XXX_T25	SE KT180.3 = 30m	OB 1	6	29	reading	AN
T 25	XXX_T25	SE KT180.3 = 30m	OB 1	6	37	writing	SE
T 26	Tmr TableHidraulics	Timer 120s hidraulica das mesas	FB 18	1	46	writing	SE
T 26	Tmr TableHidraulics	Timer 120s hidraulica das mesas	FB 18	1	47	reading	A
C 1	C Mnp Fast	Counter 3x para aceder a velocidades	OB 1	1	116	writing	S
C 1	C Mnp Fast	Counter 3x para aceder a velocidades	OB 1	1	119	reading	CD
C 1	C Mnp Fast	Counter 3x para aceder a velocidades	OB 1	1	121	reading	AN
C 2	C2???		FB 12	1	31	writing	S
C 2	C2???		FB 12	1	34	reading	CD
C 2	C2???		FB 12	1	36	reading	AN
C 2	C2???		FB 12	1	49	reading	O
C 3	C3???		FB 13	1	11	writing	S
C 3	C3???		FB 13	1	14	reading	CD
C 3	C3???		FB 13	1	16	reading	AN
C 3	C3???		FB 13	1	29	reading	O
PB 9			OB 1	1	134	reading	JC
PB 10			OB 1	8	44	reading	JC
PB 11			OB 1	8	56	reading	JC
PB 20			PB 10	1	7	reading	JC
PB 21			PB 11	1	11	reading	JC
PB 30			PB 10	1	16	reading	JC
PB 31			PB 11	1	25	reading	JC
PB 32			PB 30	1	1	reading	JC
PB 33			PB 31	1	1	reading	JC
PB 40			PB 10	1	27	reading	JC
PB 41			PB 11	1	38	reading	JC
PB 50			PB 10	1	46	reading	JC
PB 51			PB 11	1	52	reading	JC
PB 52			PB 10	1	54	reading	JC
PB 53			PB 11	1	63	reading	JC
FB 10			FB 12	1	41	reading	JC
FB 10			FB 13	1	21	reading	JC
FB 11			FB 12	1	45	reading	JC
FB 11			FB 13	1	25	reading	JC
FB 12			FB 17	1	3	reading	JC
FB 13			FB 17	1	6	reading	JC
FB 14			OB 1	10	37	reading	JC
FB 15			OB 1	1	130	reading	JC
FB 16			FB 14	1	28	reading	JU
FB 16			FB 15	3	26	reading	JU
FB 16			FB 15	3	42	reading	JU
FB 16			FB 15	3	58	reading	JU
FB 16			FB 15	4	27	reading	JU
FB 16			FB 15	4	43	reading	JU
FB 16			FB 15	4	54	reading	JU
FB 16			FB 15	4	70	reading	JU
FB 16			FB 15	4	85	reading	JU
FB 16			FB 15	5	26	reading	JU
FB 16			FB 15	5	42	reading	JU
FB 16			FB 15	5	58	reading	JU
FB 16			FB 15	6	26	reading	JU
FB 16			FB 15	6	42	reading	JU
FB 16			FB 15	6	58	reading	JU
FB 17			FB 14	1	7	reading	JU
FB 17			FB 14	1	23	reading	JU
FB 17			FB 14	1	39	reading	JU
FB 17			FB 15	2	19	reading	JU
FB 17			FB 15	3	21	reading	JU
FB 17			FB 15	3	37	reading	JU
FB 17			FB 15	3	53	reading	JU
FB 17			FB 15	4	22	reading	JU
FB 17			FB 15	4	38	reading	JU
FB 17			FB 15	4	50	reading	JU
FB 17			FB 15	4	65	reading	JU
FB 17			FB 15	4	80	reading	JU
FB 17			FB 15	5	21	reading	JU
FB 17			FB 15	5	37	reading	JU
FB 17			FB 15	5	53	reading	JU
FB 17			FB 15	6	21	reading	JU
FB 17			FB 15	6	37	reading	JU
FB 17			FB 15	6	53	reading	JU
FB 18			OB 1	6	38	reading	JU
FB 241			FB 10	1	38	reading	JU
FB 241			FB 11	1	46	reading	JU
FB 243			FB 10	1	7	reading	JU
FB 243			FB 11	1	7	reading	JU
FB 243			FB 11	1	35	reading	JU
FB 243			FB 16	1	2	reading	JU
